Field,Question_1,Answer_1,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6,Question_7,Answer_7,Question_8,Answer_8,Question_9,Answer_9,Question_10,Answer_10
Curator,1. What do you like about our current displays? What improvements would you make?,Shows preparedness and creativity.,2. Explain how you negotiate a loan or purchase terms. What planning goes into that process?,Demonstrates negotiation skills.,3. Describe your experience with researching pieces and maintaining catalogues.,Shows thoroughness and organization skills.,"4. When planning a display, what tasks do you handle? What do you delegate? How do you facilitate teamwork?",Demonstrates management skills and job expectations.,5. How would you promote our events and exhibitions? Use examples from your most successful event to support your answer.,Shows marketing skills.,,,,,,,,,,
Design Consultant,1. Tell me about the best product or space you designed. What made it successful?,,2. Describe a time your design failed to meet a clients standards. What happened?,,3. What do you think is the primary role of a Design Consultant?,Shows candidates understanding of the role and their expectations for the job.,4. How do you tend to use color in your designs?,Illustrates candidates design style and their understanding of the use of colors and textures.,"5. When starting a new project, what questions would you ask the client?","Demonstrates candidates industry knowledge, attention to detail, and organizational skills.",,,,,,,,,,
Design Director,1. What basic elements would you include in a design plan?,Indicates the candidates design experience and their planning skills.,2. Describe a time you made a mistake in a project. What would you do differently?,"Illustrates the candidates ability to accept and learn from their mistakes, as well as their critical thinking and analytical skills.",3. What would you do if a designer made an error that put a project behind schedule?,"Shows the candidates communication, leadership, and problem-solving skills.",4. How effective was your pitch the last time you presented an idea to a client?,"Demonstrates the candidates presentation and communication skills, as well as their confidence in themselves and their ideas.",5. What tools would you use to design a complex animation?,Illustrates the candidates knowledge of CAD tools.,,,,,,,,,,
Digital Media Planner,1. Can you describe three current trends in the digital media landscape?,Reveals industry knowledge and whether the candidate stays up-to-date with digital market trends.,2. Can you describe a time when you identified a digital opportunity for a client?,Shows the candidates experience and strategic thinking skills.,3. How would you ensure that your digital media plans align with overarching brand strategies?,Reveals the candidates expertise and ability to develop fully integrated digital media plans.,4. What would you do if a client rejected your media plan?,"Shows the candidates communication, interpersonal, and problem-solving skills.",5. Which campaign management and ad serving technology have you worked with?,Reveals the candidates experience and knowledge of different digital tools.,,,,,,,,,,
Digital Producer,1. How would you respond to an unhappy client?,Tests the candidate’s ability to build relationships with clients.,2. How would you ensure the production team follows design specifications?,Highlights the candidate’s project management skills.,3. Which design software do you prefer and why?,Reveals the candidate’s experience with design software.,4. You have to prepare a project budget for a new project. How would you ensure its accuracy?,Tests the candidate’s ability to create accurate budgets and quotations.,5. You have multiple projects due soon. How would you prioritize your work?,Demonstrates the candidate’s ability to multi-task.,,,,,,,,,,
Director of Photography,1. How do you plan for a shoot?,"Candidates should describe their extensive planning ahead of time. They need to know what the shot entails, how to shoot it and what equipment is needed to execute it. Look for a methodical approach to planning and organization.",2. A Director is not happy with your ideas. How do you handle the situation?,"Candidates should acknowledge that the vision for what a film should look like is not their own, but rather the vision of the Director. They should try and sell the Director on their own vision and expertise but should desist when instructed to.","3. What, in your opinion, are the most important qualities in a Director of Photography?",Candidates should list good communication skills and the ability to execute on a creative vision as key qualities in a Director of Photography.,4. What has been your greatest success in cinematography?,Candidates should describe how they encountered a visual or lighting challenge on set and came up with a creative solution to achieving the directors objectives. Look for creative problem-solving ability.,5. Describe an experience where you made a mistake in your duties. How did you rectify your error?,"Candidates should acknowledge the importance of communication between themselves and the director to ensure that they are always on the same page. Look for stories where candidates erred, rectified their error and learned a valuable lesson from it.",,,,,,,,,,
Disc Jockey,1. Why did you want to work as a DJ?,Demonstrates the candidate’s inherent skills and passion for the industry.,2. What skills do you think DJs need to be successful?,Highlights the skills of the candidate and reveals gaps in knowledge.,3. How do you stay up to date with the latest music trends?,Demonstrates the candidate’s willingness to stay relevant in the industry.,4. What techniques do you use to engage listeners?,Demonstrates the candidate’s communication and interpersonal skills.,5. What would you say is the most rewarding part of being a DJ?,Reveals previous work experience and highlights areas of expertise.,,,,,,,,,,
Drummer,1. How long have you been a Drummer?,Reveals experience as a Drummer.,2. Do you play any other instruments?,Reveals experience with other musical instruments.,3. Do you have any experience with musical composition?,Reveals ability to compose music.,4. How well do you manage with improvisation?,Demonstrates ability to improvise.,5. Who are your top 5 favorite Drummers and why?,Reveals candidates knowledge of the industry and his or her influences.,,,,,,,,,,
Editor in Chief,1. How do you improve readability?,Demonstrates ability to accurately edit copy.,2. How do you organize and prioritize your work?,Demonstrates time management skills.,3. Can you tell us about your experience in creating style guides?,Reveals experience with creating style guides.,4. What kind of authors would you consider pursuing for this publication?,Demonstrates an understanding of the publication and what its readers would be interested in.,5. How would you handle a situation where you or a member of the team created a PR crisis?,Demonstrates leadership and crisis management skills.,,,,,,,,,,
Executive Producer,"1. What, in your experience, is the most important quality in an Executive Producer?","Candidates should list either exceptional interpersonal skills and the ability to motivate a large crew over a long time, or good business acumen and the ability to get the most value out of a limited budget as essential qualities.",2. What is your approach to delegation of responsibility?,Candidates should acknowledge that they cannot oversee all aspects of a multifaceted job. They should compensate for this by ensuring that the people they work with are diligent and responsible to take over important duties and should motivate their subordinates to assume leadership roles.,3. Describe an experience when you had to resolve a conflict between staff. How did you manage the situation?,,4. Describe a time where you had to fire someone because they werent the correct fit. How did you manage the process?,,5. What is the most difficult production problem you had to solve?,"Candidates could list from a number of problems, including falling behind schedule or going over budget. Look for stories where candidates identified a problem, found a creative solution to it and learned a valuable lesson about production from it.",,,,,,,,,,
Fashion Designer,"1. Could you give me a detailed breakdown of the steps in producing a collection, from conception to the runway?",The potential hire will display an understanding of their duties in the answer to this question.,2. Where do you spot trends as you go along?,The candidates answer will show their ability pick new trends off the street.,"3. If you today—like Christian Dior back then—were to create a revolutionary look as a backlash against the spirit of the times, what would it be?","The candidates answer will display their interpretation of the zeitgeist, and their
understanding of how it is expressed in trends. Their answer will further demonstrate their creative ability to create an antithesis.",4. Who is your muse?,The potential hire’s answer will—besides their portfolio—give you an indication of their style.,5.Could you give me examples from past experience where you demonstrated business acumen?,"To be a creative giant, a Fashion Designer needs to have their head in the clouds and their feet on the ground. The candidate needs to convince you of their business sense.",,,,,,,,,,
Fashion Director,1. Can you describe three of the latest fashion trends?,Tests the candidate’s knowledge of the latest fashion trends.,3. How would you approach providing constructive feedback to your team after a failed campaign?,Demonstrates the candidate’s problem-solving skills.,4. Can you give an example of a time one of your projects didn’t go according to plan? What happened and how did you handle it?,Highlights the candidate’s leadership and interpersonal skills.,5. What key information and trends do you analyze when assessing the success of a prospective clothing line?,Demonstrates the candidate’s project management experience.,,,,,,,,,,,,
Film Director,1. What is your approach to delegation?,"Candidates should describe how they encourage delegation of duty as it allows for talented people to contribute to the film, under their supervision",2. Describe how you would ensure that production is on schedule. What steps would you take?,Candidates should describe how they would ensure that daily or weekly objectives are met. Look for a methodical approach to time management.,"3. What, in your opinion, is the most important quality in a Film Director?","Candidates should list confidence, the ability to motivate and organizational skills as the most important qualities in a Film Director.",4. An actor is being unprofessional. How do you manage the situation?,"Such incidents are ubiquitous in the film industry and knowing how to deal with conflict is essential in a Film Directors job. Candidates should describe how they would settle disputes by listening and communicating, but also describe how they would enforce discipline on set.",5. Describe a time when you made a mistake in your duties. How did you rectify it?,"Candidates should acknowledge the importance of diligence in their duties and the potential consequences oversight can have for a multi-million dollar investment. Look for stories where candidates erred, rectified their error and learned a valuable lesson from the experience.",,,,,,,,,,
Film Editor,1. Can you describe a time when you experienced a technical challenge? How did you resolve this?,Demonstrates knowledge of techniques and problem-solving skills.,2. What would you do if a client was not pleased with your work?,Demonstrates ability to handle constructive criticism and re-work a project until the client is satisfied.,3. Which one of your previous projects do you consider your best work and why?,"Reveals the candidates best work, skill level, and confidence in their skill.",4. What video editing tools are you familiar with?,Reveals knowledge of video editing tools.,"5. How do you ensure you stay updated with the latest trends, tools, and techniques?",Demonstrates ability to up-to-date with the latest developments in the industry.,,,,,,,,,,
Graphic Designer,1. Tell about some of the computer applications you’ve used to create visuals. Provide examples of completed projects.,Demonstrates computer skills.,2. Describe how you turn concepts into visual elements. How do you find direction?,Reveals more about creative process.,3. How do you handle feedback/criticism? Provide specific examples.,Shows flexibility.,4. What do you like about the current graphics on our website? What would you change?,Tests ability to adapt.,5. What was your most challenging project? What was your most successful? What did you learn from each?,Reveals more about work history.,,,,,,,,,,
Guitarist,1. Can you describe how you take care of your guitar?,Tests guitar maintenance knowledge and practices.,2. What has been the highlight of your career as a Guitarist so far?,"Reveals passion, interests, strengths, and level of experience.",3. What new musical skills have you learned in the last six months?,Reveals dedication to the music industry and willingness to expand skillset.,4. What three qualities make a good Guitarist?,Tests knowledge of role and suitability for the position.,5. How will this position help you achieve your goals as a Guitarist?,"Reveals more about the candidate, their ambitions, as well as their long and short-term goals.",,,,,,,,,,
Illustrator,1. What is your favorite drawing or painting in your portfolio and why?,"Demonstrates the skill, style, and values of the artist.",2. What techniques and resources did you use to design your last few pieces?,Demonstrates the candidate’s ability to work on different media and digital technology.,3. How do you get inspired to produce a piece of artwork?,Demonstrates the creative thinking and conceptual abilities of the candidate.,4. What do you do to overcome a creative block?,Demonstrates how a candidate can move through the different stages of the creative process.,5. What would you do if a client continually rejected all your presented drafts?,"Demonstrates how the candidate deals with stress, rejection and the ability to work around a problem.",,,,,,,,,,
Journalist,1. How would you manage the stress of tight deadlines?,Tests the candidate’s ability to perform under pressure.,2. How do you ensure your work is accurate and factual?,Demonstrates the candidate’s investigative and fact-checking skills.,3. Can you list three current stories that impact our publication?,Highlights the candidate’s knowledge of the latest headlines.,4. Can you describe the three best qualities of your writing style?,Tests the candidate’s writing skills.,5. How would you handle a hostile or uncooperative interviewee?,Demonstrates the candidate’s interpersonal and communication skills.,,,,,,,,,,
Junior Graphic Designer,1. What qualities should a Junior Graphic Designer have?,Reveals what the candidate thinks about the profession.,2. How do you incorporate feedback into your designs?,Shows appreciation for constructive criticism and problem-solving skills.,3. What are the major steps of your creative process?,Demonstrates the candidates understanding of the creative course of action.,4. Tell us about a time when you created great work under pressure. How do you handle tough deadlines?,Shows time management skills and creativity.,5. How do you work with collaborators? How does the final hand-over process work?,Shows comfort and flexibility working with others. Suggest ways to make the final hand-over as smooth as possible.,,,,,,,,,,
Layout Designer,1. What made you want to work as a layout designer?,Reveals the candidates natural skills and artistic abilities.,2. What techniques do you use to create a natural flow on a page?,Demonstrates the candidates knowledge of design and principals.,3. How do you deal with a graphic design team that opposes your layout ideas?,Demonstrates the candidates communication skills.,4. What graphic design software do you prefer using and why?,Reveals knowledge of design software and highlights possible gaps in knowledge.,5. What design project are you most proud of?,Reveals work experience and highlights industry skills.,,,,,,,,,,
Literary Agent,1. How would you handle rejection from Publishers?,Demonstrates the candidate’s ability to accept rejection as well as their experience.,2. What should a Literary Agent look for when initially reading through Authors manuscripts?,"Reveals the candidate’s industry knowledge, analytical skills, and experience.",3. What would you do if an Author you were representing refused to implement any recommended changes to their manuscript?,Assesses the candidate’s communication and problem-solving skills.,4. What measures would you take to ensure that Authors books get into bookstores?,"Highlights the candidate’s industry knowledge, their networking and negotiation skills, as well as experience.",5. How do you keep abreast of the latest developments in the publishing industry?,Demonstrates the candidate’s industry knowledge and their commitment to the job.,,,,,,,,,,
Managing Editor,1. How do you determine what content to create?,"Candidates should talk at length of the importance of data in guiding their content development strategy. Look at how they gather data, how they analyze data, and whether they use any external data sources.",2. How do you use SEO in your job?,"Candidates should be knowledgeable about all levels of SEO, including on-site optimization, keyword research, and link-building. Look for examples of how they used SEO tactics in previous roles to boost traffic and engagement.",3. What kind of content should our business be developing in the coming months?,,4. How does experience in your previous role benefit you in the role youre applying for?,,5. How do you stay abreast of developments in your field?,Candidates should discuss how they monitor both their competition and changes to Googles search algorithm. Bonus points for candidates who attend industry conferences or partake in any kind of continued learning.,,,,,,,,,,
Marketing Analyst,1. How would you use statistics in this position?,Tests knowledge and experience.,2. What do you do to check your own work?,Tests attention to detail and thoroughness.,"3. What marketing campaign has not hit its mark, in your opinion? How would you improve it?",Shows insight and expertise.,4. What methods of collecting consumer behavior data work well?,Shows experience and research skill.,5. Where would you start when analyzing our competitors?,Tests insight and know-how.,,,,,,,,,,
Marketing Associate,1. How would you kick off a social media campaign for a new product?,,2. What has been the most difficult advertising project youve worked on?,,3. Which of the big brand campaigns running today do you think is most successful?,Tests insight into industry and industry awareness.,"4. In your view, how do people discover brands?",Shows insight.,5. How do you approach delivering bad news to your superiors?,Tests communication skills and reliability.,,,,,,,,,,
Marketing Consultant,1. How do you adapt to a new companys culture?,,2. What do you do to prepare for presentations?,Demonstrates candidates organizational skills.,3. What process do you use in market analysis?,Demonstrates candidates knowledge of and experience in the industry.,4. What statistical analysis software do you prefer and why?,Demonstrates candidates computer literacy skills.,5. What method or process would you use to successfully launch a new product within a short time frame?,"Demonstrates candidates knowledge and experience, as well as organizational and analytical skills.",,,,,,,,,,
Media Director,1. What method would you follow when presenting complex information in a simplified manner?,This tests the candidate’s ability to condense complex information into user-friendly content.,2. How would you rectify a campaign that didn’t produce the desired result?,This illustrates the candidate’s ability to recognize mistakes and use appropriate measures to remedy the situation.,3. How do you monitor multiple campaigns aimed at different target markets?,This question tests the candidate’s ability to multi-task and manage simultaneous projects.,4. How does your research help you to identify opportunities that can develop into campaigns?,This illustrates the candidate’s ability to effectively research and identify opportunities for media coverage.,5. What metrics do you monitor after releasing a new campaign?,Tests the candidate’s knowledge of analytical tools.,,,,,,,,,,
Media Manager,1. What do you do when priorities change instantly?,This tests the candidate’s ability to make appropriate decisions.,2. How would your communication skills help to communicate our organization’s message?,This illustrates the effectiveness of the candidate’s communication skills.,3. What method would you follow when presenting complex information in a simplified manner?,This tests the candidate’s ability to condense complex information into user-friendly content.,4. Tell me about a time when you went above and beyond the call of duty. What was the outcome?,This illustrates the candidate’s willingness to go the extra mile.,5. How would you rectify a campaign that didn’t produce the desired result?,This illustrates the candidate’s ability to recognize mistakes and use appropriate measures to remedy the situation.,,,,,,,,,,
Model,1. What steps do you take to maintain your physical appearance?,Demonstrates the candidate’s commitment to maintaining their physical appearance.,2. How do you hold uncomfortable poses for extended periods?,"Demonstrates the candidate’s physical stamina, patience, and experience.",3. How do you build good working relationships with other models?,Demonstrates the candidate’s ability to maintain professionalism as well as communication skills.,4. How would you deal with photographers making inappropriate comments toward you during photoshoots?,Demonstrates the candidate’s communication skills and ability to maintain professionalism.,"5. What was the most difficult photoshoot you have ever done, and how did you handle it?","Demonstrates the candidate’s ability to work under pressure, as well as customer service skills and experience.",,,,,,,,,,
Movie Producer,1. What do you look for in a script?,Shows approach and experience.,2. How do you select a director?,Tests knowledge of industry and insight.,3. What checks and balances do you when managing budgets?,Tests management skills.,4. Have you ever had to handle a difficult conflict in your career? What did you learn from it?,Shows problem-solving and communication skills.,5. What would you change in a movie you produced that you believe would make it better?,Shows experience and insight.,,,,,,,,,,
Multimedia Designer,1. Can you explain your process for designing visually appealing images for websites?,Highlights the candidates design skills.,2. What would you say is the most difficult part of being a multimedia designer?,Reveals honesty and highlights potential weaknesses.,3. How would you respond if the design team is completely opposed to your ideas?,Demonstrates whether the candidate is able to work as part of a team and resolve conflicts amicably.,4. How do you prioritize tasks when approaching a deadline?,Demonstrates the candidates project management skills.,5. What has been the most challenging design project you have worked on?,Reveals industry experience and highlights pertinent skills.,,,,,,,,,,
Music Editor,1. Can you share an experience of when you successfully learned how to use a new piece of equipment?,Demonstrates technical skill and adaptive ability.,2. Which one of the projects in your portfolio are you most proud of?,Reveals candidates best work and his or her confidence.,3. How do you take criticism when a client is not satisfied with a piece you have created?,Demonstrates the ability to handle and learn from constructive criticism.,4. Can you share an experience of when you applied new technology or information successfully?,Demonstrates ability to stay up-to-date with industry developments.,5. Can you tell us about your training?,Reveals skills and experience as a Music Editor.,,,,,,,,,,
Music Producer,1. How do you approach the sensitive task of discussing changes and rearrangements with artists?,Shows communication skills and insight.,2. What is the one thing every song must have for it to be solid?,Tests experience and songwriting skill.,3. Who is the best music producer working in the industry today?,Shows industry knowledge.,4. What is the first thing you listen for when listening to a new recording?,,5. What is the biggest budget youve worked with?,,,,,,,,,,,
Photo Editor,1. Tell me about a project of yours that showcases your creativity the best?,,2. An editor pitches an idea that you know wont work well. How do you respond?,,3. Which photographic editing software do you prefer? Why?,,4. Tell me about the most challenging project youve completed. What did you learn?,,5. A writer on the editorial team keeps criticizing your concepts. What do you do?,Reveals interpersonal skills and determines how the candidate manages criticism.,,,,,,,,,,
Photographer,"1. Which photo editing software are you familiar with, and how would you rate your skill level?",Tests the candidates ability to use the necessary software.,2. Can you describe how you would ask a client about their needs?,Shows the candidates interpersonal and planning skills.,3. How far in advance would you arrive for an event that you are photographing?,Demonstrates the candidates time management skills and level of professionalism.,4. What would you consider to be an adequate set up for a studio photoshoot?,Tests the candidates knowledge of working in a studio and studio equipment.,5. Have you ever worked as a photography assistant? Can you describe your responsibilities?,Demonstrates the candidates prior work experience and suitability for the role.,,,,,,,,,,
Photographer Assistant,1. What should you be looking for when scouting shoot locations?,Tests the candidate’s knowledge of style and aesthetics.,2. Why is it important to make clients feel comfortable when conducting a photoshoot?,Examines the candidate’s understanding of photography techniques and tests interpersonal skills .,3. What photo editing software are you familiar with?,Highlights areas of expertise and reveals gaps in knowledge.,4. Can you tell me the difference between soft and hard lighting?,Demonstrates a deeper understanding of lighting techniques.,"5. What photograph in your portfolio are you most proud of, and why?",Reveals the candidate’s creativity and photography skills.,,,,,,,,,,
Producer,"1. What, in your experience, is the most important quality in a Producer?","Candidates should list either exceptional interpersonal skills and the ability to motivate a large crew over a long time, or good business acumen and the ability to get the most value out of a limited budget as essential qualities.",2. What is your approach to delegation of responsibility?,Candidates should acknowledge that they cannot oversee all aspects of a multifaceted job. They should compensate for this by ensuring that the people they work with are diligent and responsible to take over important duties and should motivate their subordinates to assume leadership roles.,3. Describe an experience when you had to resolve a conflict between staff. How did you manage the situation?,,4. Describe a time where you had to fire someone because they werent the correct fit. How did you manage the process?,,5. What is the most difficult production problem you had to solve?,"Candidates could list from a number of problems, including falling behind schedule or going over budget. Look for stories where candidates identified a problem, found a creative solution to it and learned a valuable lesson about production from it.",,,,,,,,,,
Product Photographer,1. What kind of research do you perform before a shoot?,Shows the candidates process of planning a shoot.,2. How would you respond to a client that was unhappy with your work?,Demonstrates the candidates ability to admit to their faults and make appropriate amends with a client.,3. Which software do you use when editing images?,Shows familiarity and experience with industry tools.,4. How much experience do you have with capturing products as opposed to people or nature?,Tests to see if the candidate has job-specific experience rather than general photographic experience.,5. How would you suggest a change in artistic direction when a client has explained their own ideas?,Shows the candidates ability to provide a professional opinion delicately and respectfully.,,,,,,,,,,
Production Artist,1. Describe a marketing campaign that did not work as expected. What did you learn?,Demonstrates candidates ability to own up to and learn from their mistakes.,2. Which brand do you think is an example of good marketing?,Illustrates candidates industry knowledge and critical thinking skills.,3. What factors do you consider when determining an illustrative arrangement?,Shows candidates understanding of the job as well as their knowledge of production software.,4. Can you share a positive experience working with designers on layout and design?,Demonstrates candidates teamwork abilities as well as their collaboration styles.,5. Can you share an example of when you effectively designed a webpage?,Shows candidates knowledge of web-development software.,,,,,,,,,,
Production Assistant,1. Describe how you would ensure that production is on schedule. What steps would you take?,Candidates should describe how they would ensure that daily or weekly objectives are met. Look for a methodical approach to time management.,2. Give an example of a time when you successfully multitasked.,Demonstrates an ability to multitask.,3. What is the most difficult production problem you had to solve?,"Candidates could list from a number of problems, including falling behind schedule or going over budget. Look for stories where candidates identified a problem, found a creative solution to it and learned a valuable lesson from it.",4. You have to prepare a budget for a new project. How would you ensure its accuracy?,Tests the candidate’s ability to create accurate budgets and quotations.,5. Describe your experience in the performing arts industry. Which projects have you worked on before and what was your role?,Shows the candidates experience in the industry.,,,,,,,,,,
Production Coordinator,1. Describe how you would ensure that production is on schedule. What steps would you take?,Candidates should describe how they would ensure that daily or weekly objectives are met. Look for a methodical approach to time management.,2. Give an example of a time when you successfully multitasked.,Demonstrates an ability to multitask.,3. What is the most difficult production problem you had to solve?,"Candidates could list from a number of problems, including falling behind schedule or going over budget. Look for stories where candidates identified a problem, found a creative solution to it and learned a valuable lesson from it.",4. You have to prepare a budget for a new project. How would you ensure its accuracy?,Tests the candidate’s ability to create accurate budgets and quotations.,5. Describe your experience in the performing arts industry. Which projects have you worked on before and what was your role?,Shows the candidates experience in the industry.,,,,,,,,,,
Radio DJ,1. Could you outline your hosting style?,Inspects compatibility with the networks image.,2. How would you avoid replaying music during a show?,Evaluates record-keeping and memorization skills.,3. What would you do if an interview was running for too long?,Uncovers interpersonal and time management capacities.,4. How would you respond if an interviewee accidentally cussed during a live broadcast?,Reviews improvisation and distraction techniques.,5. What would you do to transition from sad to light-hearted segments?,Reveals conversational and reporting abilities.,,,,,,,,,,
Record Producer,1. Do you have experience producing music?,Reveals experience working in a studio and overseeing a recording session.,2. Do you write lyrics?,Reveals the ability to contribute to the writing process.,3. What makes a good song?,"Reveals key knowledge of composition, arrangement, and music production.",4. Why should you be hired?,Highlights strengths and accomplishments.,5. How familiar are you with audio equipment and software?,Reveals industry knowledge and familiarity with software that is aligned with industry standards.,,,,,,,,,,
Senior Copywriter,1. How would you measure the success of blog posts?,Reveals knowledge of applicable KPIs.,2. What techniques would you use to improve SEO?,Tests familiarity with effective SEO strategies.,3. Which publishing platforms are you familiar with?,Provides insight into industry technology.,4. How would you ensure correct grammar and spelling in all content?,Tests attention to detail and editing skills.,5. What is the best piece of writing in your portfolio?,Reveals previous experience and assesses confidence in ones work.,,,,,,,,,,
Senior Graphic Designer,1. What are your design strengths and weaknesses?,Assesses whether the skills of the candidate match those of the job requirements.,2. Why do you want to work for us?,"Reveals the candidates idea of the company and its brand, as well as how he or she can contribute to the development of the brand.",3. How do you respond when a client gives you harsh criticism?,,4. How do you measure your designs success?,,5. What is the best design piece from your portfolio and why?,Reveals confidence in design skills and the ability to explain a design piece.,,,,,,,,,,
Social Media Analyst,1. How would you tell a colleague about changes they need to make to content?,Demonstrates the candidates ability to provide constructive criticism.,2. What systems do you use to collect and interpret data?,Shows the candidates knowledge of metric-tracking software and tools.,3. How do you decide if a post or campaign has been successful?,Demonstrates the candidates ability to analyze data.,4. How do you determine which platforms a business should use?,Shows the candidates understanding of different social media platforms.,5. How do you keep abreast of the latest social media tools and trends from a professional perspective?,Tests the candidates ability to research new tools offered by various platforms.,,,,,,,,,,
Social Media Assistant,1. Which social media platforms would be the most appropriate for our business? Why?,Shows trend awareness.,2. How have you engaged consumers and influencers on social media at other jobs? How do you gain support?,Demonstrates the ability to build a network.,3. Has your content ever received negative attention? What caused it and what would you do differently now?,Shows adaptability.,4. What do you think of our current social media activities? What would you change?,Shows preparedness and ability to think outside the box.,5. How do you determine whether or not a strategy has been successful?,Tests the ability to analyze data.,,,,,,,,,,
Social Media Coordinator,1. Which social media platforms would be the most appropriate for our business? Why?,Shows trend awareness.,2. How have you engaged consumers and influencers on social media at other jobs? How do you gain support?,Demonstrates the ability to build a network.,3. Has your content ever received negative attention? What caused it and what do you do differently now?,Shows adaptability.,4. What do you think of our current social media activities? What would you change?,Shows preparedness.,5. How do you determine whether or not a strategy has been successful?,Tests ability to analyze data.,,,,,,,,,,
Social Media Designer,1. What metrics do you use when measuring campaign success?,Demonstrates knowledge of measuring campaign success.,2. Which tools do you find most useful in managing social media channels?,Demonstrates knowledge of social media management tools.,3. What is the most successful campaign you have worked on?,Reveals experience in running successful campaigns.,4. Have you tried any social media experiments in your previous campaigns?,"Shows ability to experiment, as well as creativity.",5. What do you think about our social media presence?,Reveals knowledge of the company and provides insight into social media management.,,,,,,,,,,
Social Media Director,1. Which software do you use when creating content?,Shows the candidates familiarity with industry software.,2. How far in advance do you schedule posts?,Demonstrates the candidates time management skills.,3. How do you decide on a social media strategy?,Shows the candidates experience and planning process.,4. How do you assess the success of your posts?,Reveals the candidates ability to track progress and measure the effectiveness of content.,5. How would you respond to negative feedback about your content?,Tests the candidates professionalism and ability to rectify mistakes.,,,,,,,,,,
Social Media Influencer,1. How would you schedule your posting-related tasks?,Illustrates planning skills.,2. What would you do if your uploads were unfairly deleted?,Discerns problem-solving abilities.,3. When would you decline a paid sponsorship?,Uncovers brand awareness and morals.,4. How would you foster cohesion within a large audience?,Inspects community-building abilities.,5. Which other Social Media Influencers would you collaborate with?,Reveals thoughtfulness about gainful partnerships.,,,,,,,,,,
Social Media Intern,1. Which social media platforms would be the most appropriate for our business? Why?,Shows trend awareness.,2. You have to present a new campaign proposal to a client. How would you sell your idea?,Demonstrates the candidate’s presentation and communication skills.,3. Has your content ever received negative attention? What caused it and what do you do differently now?,Shows adaptability.,4. What do you think of our current social media activities? What would you change?,Shows preparedness and ability to think outside the box.,5. How do you determine whether or not a strategy has been successful?,Tests the ability to analyze data.,,,,,,,,,,
Staff Writer,1. How do you begin doing research for an article?,Tests the candidates ability to research a topic.,2. What is your process for finding someone to interview and preparing questions?,Shows the candidates planning process.,3. How would you respond if you were asked to rewrite a piece entirely?,Demonstrates the candidates ability to take criticism in a professional way.,4. What is your process for fact-checking information?,Shows the candidates ability to only provide accurate information.,5. How do you manage your deadlines?,Tests the candidates time management skills.,,,,,,,,,,
Stage Manager,1. Describe how you would ensure that production is on schedule. What steps would you take?,Candidates should describe how they would ensure that daily or weekly objectives are met. Look for a methodical approach to time management.,2. An actor is being unprofessional. How do you manage the situation?,"Candidates should describe how they would settle disputes by listening and communicating, but also describe how they would enforce discipline on set.",3. What is the most difficult production problem you had to solve?,,4. Describe a time where you had to fire someone because they werent the correct fit. How did you manage the process?,,5. Describe your experience in the performing arts industry. Which projects have you worked on before and what was your role?,Shows the candidates experience in the industry.,,,,,,,,,,
Studio Manager,1. What information should you examine before creating a company budget?,Tests the candidate’s knowledge in budgeting.,"2. What skills, in your opinion, are most important in a Studio Manager?","Candidates should list confidence, excellent listening skills or organizational skills as key attributes in a Studio Manager.",3. Describe how you maintain relationships with clients. Why is this necessary?,Shows interpersonal skills.,4. What current business industry trends may have an impact on your role as a manager?,Shows the candidate’s knowledge of the latest industry trends.,5. What is your approach to managing a project?,Shows the candidates planning skills from conception to execution.,,,,,,,,,,
Talent Manager,1. What techniques do you use to attract new talent?,Reveals creative methods of finding new talent.,2. How important do you think networking is in this position?,,"3. In the past, what initiatives have you taken to improve a clients brand?",,4. Have you recruited talent from social media?,Exhibits social media marketing experience.,5. What characteristics determine a talent worth signing?,Demonstrates an eye for unique talent that can be prepared for success.,,,,,,,,,,
Tour Manager,1. What key provisions would you make for international tours?,Highlights applicable expertise.,2. How would you observe agreed-upon budgets?,Demonstrates financial planning skills.,3. How would you alleviate tour-related tensions?,Reviews interpersonal abilities.,4. What would you do if the shipping of show-related equipment was heavily delayed?,Discerns the capability to ensure back-up options.,5. How would you respond if your client fell ill shortly before their performance?,Uncovers problem-solving techniques.,,,,,,,,,,
TV Producer,"1. What, in your experience, is the most important quality in a TV Producer?","Candidates should list either exceptional interpersonal skills and the ability to motivate a large crew over a long time, or good business acumen and the ability to get the most value out of a limited budget as essential qualities.",2. What is your approach to delegation of responsibility?,Candidates should acknowledge that they cannot oversee all aspects of a multifaceted job. They should compensate for this by ensuring that the people they work with are diligent and responsible to take over important duties and should motivate their subordinates to assume leadership roles.,3. What is the most difficult production problem you had to solve?,"Candidates could list from a number of problems, including falling behind schedule or going over budget. Look for stories where candidates identified a problem, found a creative solution to it and learned a valuable lesson about production from it.",4. What do you look for in a script?,Shows approach and experience.,5. How do you select a director?,Tests knowledge of industry and insight.,,,,,,,,,,
